Company,Customer ID,Cliente,Pagador,Loan ID,Payment Date,TPV,Total Payment,Currency,Principal Payment,Interest Payment,Fee Payment,Other Payment,Tax Payment,All Rebates,Outstanding Loan Value,interest_burden
Abaco Financial,CLIAB001105,"EMPRESA EJEMPLO 106, S.A. DE C.V.","PAGADOR EJEMPLO 106, S.A. DE C.V.",DSB8346-293,2025-09-29,54446.2,59890.82,USD,54446.2,5444.62,1796.72,,598.91,,0,0.09090909090909094
Abaco Financial,CLIAB001106,"EMPRESA EJEMPLO 107, S.A. DE C.V.","PAGADOR EJEMPLO 107, S.A. DE C.V.",DSB6552-693,2025-07-02,71901.73,79091.9,USD,71901.73,7190.17,2372.76,,790.92,,0,0.09090905642676428
Abaco Financial,CLIAB001107,"EMPRESA EJEMPLO 108, S.A. DE C.V.","PAGADOR EJEMPLO 108, S.A. DE C.V.",DSB5806-603,2025-07-21,29505.03,32455.53,USD,29505.03,2950.5,973.67,,324.56,,0,0.09090900687802661
Abaco Financial,CLIAB001108,"EMPRESA EJEMPLO 109, S.A. DE C.V.","PAGADOR EJEMPLO 109, S.A. DE C.V.",DSB8300-493,2025-10-12,93279.71,102607.68,USD,93279.71,9327.97,3078.23,,1026.08,,0,0.09090908204921877
Abaco Technologies,CLIAB001109,"EMPRESA EJEMPLO 110, S.A. DE C.V.","PAGADOR EJEMPLO 110, S.A. DE C.V.",DSB9329-211,2025-01-10,61064.79,67171.27,USD,61064.79,6106.48,2015.14,,671.71,,0,0.09090910444301559
Abaco Financial,CLIAB001110,"EMPRESA EJEMPLO 111, S.A. DE C.V.","PAGADOR EJEMPLO 111, S.A. DE C.V.",DSB3001-368,2025-08-22,98499.28,108349.21,USD,98499.28,9849.93,3250.48,,1083.49,,0,0.0909091076898485
Abaco Technologies,CLIAB001111,"EMPRESA EJEMPLO 112, S.A. DE C.V.","PAGADOR EJEMPLO 112, S.A. DE C.V.",DSB5949-466,2025-06-16,40501.27,44551.4,USD,40501.27,4050.13,1336.54,,445.51,,0,0.09090915212541029
Abaco Financial,CLIAB001112,"EMPRESA EJEMPLO 113, S.A. DE C.V.","PAGADOR EJEMPLO 113, S.A. DE C.V.",DSB2645-471,2025-02-03,54202.16,59622.38,USD,54202.16,5420.22,1788.67,,596.22,,0,0.09090915189900162
Abaco Financial,CLIAB001113,"EMPRESA EJEMPLO 114, S.A. DE C.V.","PAGADOR EJEMPLO 114, S.A. DE C.V.",DSB7432-085,2026-01-26,45791.51,50370.66,USD,45791.51,4579.15,1511.12,,503.71,,0,0.09090907286106642
Abaco Financial,CLIAB001114,"EMPRESA EJEMPLO 115, S.A. DE C.V.","PAGADOR EJEMPLO 115, S.A. DE C.V.",DSB8780-157,2025-01-07,58478.25,64326.08,USD,58478.25,5847.83,1929.78,,643.26,,0,0.09090916157179174
Abaco Technologies,CLIAB001115,"EMPRESA EJEMPLO 116, S.A. DE C.V.","PAGADOR EJEMPLO 116, S.A. DE C.V.",DSB8070-824,2025-10-27,42047.79,46252.57,USD,42047.79,4204.78,1387.58,,462.53,,0,0.0909091105640184
Abaco Financial,CLIAB001116,"EMPRESA EJEMPLO 117, S.A. DE C.V.","PAGADOR EJEMPLO 117, S.A. DE C.V.",DSB1081-733,2026-01-03,80178.42,88196.26,USD,80178.42,8017.84,2645.89,,881.96,,0,0.09090907029391038
Abaco Financial,CLIAB001117,"EMPRESA EJEMPLO 118, S.A. DE C.V.","PAGADOR EJEMPLO 118, S.A. DE C.V.",DSB4712-440,2026-01-05,30110.42,33121.46,USD,30110.42,3011.04,993.64,,331.21,,0,0.09090903601471678
Abaco Technologies,CLIAB001118,"EMPRESA EJEMPLO 119, S.A. DE C.V.","PAGADOR EJEMPLO 119, S.A. DE C.V.",DSB9145-232,2025-05-31,11195.17,12314.69,USD,11195.17,1119.52,369.44,,123.15,,0,0.0909093123740834
Abaco Financial,CLIAB001119,"EMPRESA EJEMPLO 120, S.A. DE C.V.","PAGADOR EJEMPLO 120, S.A. DE C.V.",DSB8352-537,2024-11-12,3513.25,3864.58,USD,3513.25,351.33,115.94,,38.65,,0,0.09091026709241368
Abaco Technologies,CLIAB001120,"EMPRESA EJEMPLO 121, S.A. DE C.V.","PAGADOR EJEMPLO 121, S.A. DE C.V.",DSB3100-429,2025-07-06,51045.28,56149.81,USD,51045.28,5104.53,1684.49,,561.5,,0,0.09090912328999867
Abaco Financial,CLIAB001121,"EMPRESA EJEMPLO 122, S.A. DE C.V.","PAGADOR EJEMPLO 122, S.A. DE C.V.",DSB3750-449,2025-01-30,80726.18,88798.8,USD,80726.18,8072.62,2663.96,,887.99,,0,0.09090911138438817
Abaco Financial,CLIAB001122,"EMPRESA EJEMPLO 123, S.A. DE C.V.","PAGADOR EJEMPLO 123, S.A. DE C.V.",DSB6782-514,2024-12-08,41232.84,45356.12,USD,41232.84,4123.28,1360.68,,453.56,,0,0.0909090107354863
Abaco Financial,CLIAB001123,"EMPRESA EJEMPLO 124, S.A. DE C.V.","PAGADOR EJEMPLO 124, S.A. DE C.V.",DSB7016-307,2025-08-24,58721.11,64593.22,USD,58721.11,5872.11,1937.8,,645.93,,0,0.09090907683499905
Abaco Technologies,CLIAB001124,"EMPRESA EJEMPLO 125, S.A. DE C.V.","PAGADOR EJEMPLO 125, S.A. DE C.V.",DSB9763-863,2024-11-09,59439.2,65383.12,USD,59439.2,5943.92,1961.49,,653.83,,0,0.09090909090909094
Abaco Financial,CLIAB001125,"EMPRESA EJEMPLO 126, S.A. DE C.V.","PAGADOR EJEMPLO 126, S.A. DE C.V.",DSB2204-014,2025-09-30,76596.97,84256.67,USD,76596.97,7659.7,2527.7,,842.57,,0,0.09090912327771794
Abaco Financial,CLIAB001126,"EMPRESA EJEMPLO 127, S.A. DE C.V.","PAGADOR EJEMPLO 127, S.A. DE C.V.",DSB7194-038,2025-02-21,3224.46,3546.91,USD,3224.46,322.45,106.41,,35.47,,0,0.09091011612925048
Abaco Technologies,CLIAB001127,"EMPRESA EJEMPLO 128, S.A. DE C.V.","PAGADOR EJEMPLO 128, S.A. DE C.V.",DSB7862-648,2025-12-23,98455.82,108301.4,USD,98455.82,9845.58,3249.04,,1083.01,,0,0.09090907412092541
Abaco Technologies,CLIAB001128,"EMPRESA EJEMPLO 129, S.A. DE C.V.","PAGADOR EJEMPLO 129, S.A. DE C.V.",DSB1569-218,2025-01-03,58075.13,63882.64,USD,58075.13,5807.51,1916.48,,638.83,,0,0.09090904821716828
Abaco Technologies,CLIAB001129,"EMPRESA EJEMPLO 130, S.A. DE C.V.","PAGADOR EJEMPLO 130, S.A. DE C.V.",DSB6675-322,2025-09-06,27104.7,29815.17,USD,27104.7,2710.47,894.46,,298.15,,0,0.09090909090909083
Abaco Financial,CLIAB001130,"EMPRESA EJEMPLO 131, S.A. DE C.V.","PAGADOR EJEMPLO 131, S.A. DE C.V.",DSB6652-224,2025-04-11,83972.59,92369.85,USD,83972.59,8397.26,2771.1,,923.7,,0,0.0909091007509486
Abaco Technologies,CLIAB001131,"EMPRESA EJEMPLO 132, S.A. DE C.V.","PAGADOR EJEMPLO 132, S.A. DE C.V.",DSB9521-100,2025-02-19,60712.06,66783.27,USD,60712.06,6071.21,2003.5,,667.83,,0,0.09090914535930938
Abaco Technologies,CLIAB001132,"EMPRESA EJEMPLO 133, S.A. DE C.V.","PAGADOR EJEMPLO 133, S.A. DE C.V.",DSB7808-026,2025-10-13,57074.06,62781.47,USD,57074.06,5707.41,1883.44,,627.81,,0,0.09090914883006085
Abaco Technologies,CLIAB001133,"EMPRESA EJEMPLO 134, S.A. DE C.V.","PAGADOR EJEMPLO 134, S.A. DE C.V.",DSB9521-075,2025-07-04,17039.37,18743.31,USD,17039.37,1703.94,562.3,,187.43,,0,0.09090923641555315
Abaco Technologies,CLIAB001134,"EMPRESA EJEMPLO 135, S.A. DE C.V.","PAGADOR EJEMPLO 135, S.A. DE C.V.",DSB3476-701,2025-10-15,35093.99,38603.39,USD,35093.99,3509.4,1158.1,,386.03,,0,0.09090911445860073
Abaco Technologies,CLIAB001135,"EMPRESA EJEMPLO 136, S.A. DE C.V.","PAGADOR EJEMPLO 136, S.A. DE C.V.",DSB9708-903,2025-10-07,8698.77,9568.65,USD,8698.77,869.88,287.06,,95.69,,0,0.09090937593077386
Abaco Technologies,CLIAB001136,"EMPRESA EJEMPLO 137, S.A. DE C.V.","PAGADOR EJEMPLO 137, S.A. DE C.V.",DSB5446-163,2025-11-11,96247.78,105872.56,USD,96247.78,9624.78,3176.18,,1058.73,,0,0.09090910808239638
Abaco Financial,CLIAB001137,"EMPRESA EJEMPLO 138, S.A. DE C.V.","PAGADOR EJEMPLO 138, S.A. DE C.V.",DSB7364-755,2025-02-02,80849.55,88934.51,USD,80849.55,8084.96,2668.04,,889.35,,0,0.09090914201922284
Abaco Financial,CLIAB001138,"EMPRESA EJEMPLO 139, S.A. DE C.V.","PAGADOR EJEMPLO 139, S.A. DE C.V.",DSB6030-518,2025-01-12,6107.98,6718.78,USD,6107.98,610.8,201.56,,67.19,,0,0.0909093615209905
Abaco Technologies,CLIAB001139,"EMPRESA EJEMPLO 140, S.A. DE C.V.","PAGADOR EJEMPLO 140, S.A. DE C.V.",DSB6558-423,2025-08-04,4360.65,4796.72,USD,4360.65,436.07,143.9,,47.97,,0,0.0909100385263264
Abaco Technologies,CLIAB001140,"EMPRESA EJEMPLO 141, S.A. DE C.V.","PAGADOR EJEMPLO 141, S.A. DE C.V.",DSB4218-877,2024-12-05,6433.38,7076.72,USD,6433.38,643.34,212.3,,70.77,,0,0.09090934783345961
Abaco Technologies,CLIAB001141,"EMPRESA EJEMPLO 142, S.A. DE C.V.","PAGADOR EJEMPLO 142, S.A. DE C.V.",DSB6939-024,2025-03-17,48625.13,53487.64,USD,48625.13,4862.51,1604.63,,534.88,,0,0.09090903992025079
Abaco Technologies,CLIAB001142,"EMPRESA EJEMPLO 143, S.A. DE C.V.","PAGADOR EJEMPLO 143, S.A. DE C.V.",DSB7881-537,2024-12-27,66503.86,73154.25,USD,66503.86,6650.39,2194.63,,731.54,,0,0.09090914061725741
Abaco Technologies,CLIAB001143,"EMPRESA EJEMPLO 144, S.A. DE C.V.","PAGADOR EJEMPLO 144, S.A. DE C.V.",DSB7851-506,2025-02-17,99043.79,108948.17,USD,99043.79,9904.38,3268.45,,1089.48,,0,0.09090909925334223
Abaco Financial,CLIAB001144,"EMPRESA EJEMPLO 145, S.A. DE C.V.","PAGADOR EJEMPLO 145, S.A. DE C.V.",DSB5990-501,2025-10-08,9765.8,10742.38,USD,9765.8,976.58,322.27,,107.42,,0,0.09090909090909094
Abaco Financial,CLIAB001145,"EMPRESA EJEMPLO 146, S.A. DE C.V.","PAGADOR EJEMPLO 146, S.A. DE C.V.",DSB6293-726,2026-04-07,42714.34,46985.77,USD,42714.34,4271.43,1409.57,,469.86,,0,0.09090901351621994
Abaco Technologies,CLIAB001146,"EMPRESA EJEMPLO 147, S.A. DE C.V.","PAGADOR EJEMPLO 147, S.A. DE C.V.",DSB9526-934,2025-05-02,24127.17,26539.89,USD,24127.17,2412.72,796.2,,265.4,,0,0.0909091936703581
Abaco Technologies,CLIAB001147,"EMPRESA EJEMPLO 148, S.A. DE C.V.","PAGADOR EJEMPLO 148, S.A. DE C.V.",DSB6335-635,2025-10-15,95685.15,105253.67,USD,95685.15,9568.52,3157.61,,1052.54,,0,0.09090913409480172
Abaco Technologies,CLIAB001148,"EMPRESA EJEMPLO 149, S.A. DE C.V.","PAGADOR EJEMPLO 149, S.A. DE C.V.",DSB3396-646,2025-07-15,7433.65,8177.02,USD,7433.65,743.37,245.31,,81.77,,0,0.09090964679064018
Abaco Financial,CLIAB001149,"EMPRESA EJEMPLO 150, S.A. DE C.V.","PAGADOR EJEMPLO 150, S.A. DE C.V.",DSB9326-146,2025-06-23,39024.97,42927.47,USD,39024.97,3902.5,1287.82,,429.27,,0,0.09090915444120051
Abaco Technologies,CLIAB001150,"EMPRESA EJEMPLO 151, S.A. DE C.V.","PAGADOR EJEMPLO 151, S.A. DE C.V.",DSB4763-118,2025-07-04,92847.48,102132.23,USD,92847.48,9284.75,3063.97,,1021.32,,0,0.09090910871132452
Abaco Financial,CLIAB001151,"EMPRESA EJEMPLO 152, S.A. DE C.V.","PAGADOR EJEMPLO 152, S.A. DE C.V.",DSB3166-553,2025-10-18,81767.48,89944.23,USD,81767.48,8176.75,2698.33,,899.44,,0,0.09090911112363742
Abaco Financial,CLIAB001152,"EMPRESA EJEMPLO 153, S.A. DE C.V.","PAGADOR EJEMPLO 153, S.A. DE C.V.",DSB6051-354,2025-08-03,87868.63,96655.49,USD,87868.63,8786.86,2899.66,,966.55,,0,0.09090906269266241
Abaco Technologies,CLIAB001153,"EMPRESA EJEMPLO 154, S.A. DE C.V.","PAGADOR EJEMPLO 154, S.A. DE C.V.",DSB2661-062,2025-12-17,65868.96,72455.86,USD,65868.96,6586.9,2173.68,,724.56,,0,0.09090914109638604
Abaco Financial,CLIAB001154,"EMPRESA EJEMPLO 155, S.A. DE C.V.","PAGADOR EJEMPLO 155, S.A. DE C.V.",DSB3926-680,2026-02-01,50091.7,55100.87,USD,50091.7,5009.17,1653.03,,551.01,,0,0.09090909090909105
Abaco Financial,CLIAB001155,"EMPRESA EJEMPLO 156, S.A. DE C.V.","PAGADOR EJEMPLO 156, S.A. DE C.V.",DSB1559-120,2025-12-07,48578.07,53435.88,USD,48578.07,4857.81,1603.08,,534.36,,0,0.0909091419473208
Abaco Financial,CLIAB001156,"EMPRESA EJEMPLO 157, S.A. DE C.V.","PAGADOR EJEMPLO 157, S.A. DE C.V.",DSB3691-720,2025-09-03,52604.77,57865.25,USD,52604.77,5260.48,1735.96,,578.65,,0,0.09090913804053391
Abaco Technologies,CLIAB001157,"EMPRESA EJEMPLO 158, S.A. DE C.V.","PAGADOR EJEMPLO 158, S.A. DE C.V.",DSB8052-557,2025-08-06,93078.94,102386.83,USD,93078.94,9307.89,3071.61,,1023.87,,0,0.09090905539315941
Abaco Technologies,CLIAB001158,"EMPRESA EJEMPLO 159, S.A. DE C.V.","PAGADOR EJEMPLO 159, S.A. DE C.V.",DSB7108-811,2025-05-08,82755.86,91031.45,USD,82755.86,8275.59,2730.94,,910.31,,0,0.09090913085532526
Abaco Financial,CLIAB001159,"EMPRESA EJEMPLO 160, S.A. DE C.V.","PAGADOR EJEMPLO 160, S.A. DE C.V.",DSB3179-243,2025-07-06,1632.2,1795.42,USD,1632.2,163.22,53.86,,17.95,,0,0.09090909090909094
Abaco Financial,CLIAB001160,"EMPRESA EJEMPLO 161, S.A. DE C.V.","PAGADOR EJEMPLO 161, S.A. DE C.V.",DSB8151-056,2025-07-04,54458.55,59904.41,USD,54458.55,5445.86,1797.13,,599.04,,0,0.09090916678755367
Abaco Financial,CLIAB001161,"EMPRESA EJEMPLO 162, S.A. DE C.V.","PAGADOR EJEMPLO 162, S.A. DE C.V.",DSB2353-457,2025-07-09,18770.24,20647.26,USD,18770.24,1877.02,619.42,,206.47,,0,0.09090891479063068
Abaco Technologies,CLIAB001162,"EMPRESA EJEMPLO 163, S.A. DE C.V.","PAGADOR EJEMPLO 163, S.A. DE C.V.",DSB7510-652,2025-02-10,7667.71,8434.48,USD,7667.71,766.77,253.03,,84.34,,0,0.09090898312640494
Abaco Financial,CLIAB001163,"EMPRESA EJEMPLO 164, S.A. DE C.V.","PAGADOR EJEMPLO 164, S.A. DE C.V.",DSB4494-487,2026-01-20,45149.87,49664.86,USD,45149.87,4514.99,1489.95,,496.65,,0,0.09090914582261977
Abaco Financial,CLIAB001164,"EMPRESA EJEMPLO 165, S.A. DE C.V.","PAGADOR EJEMPLO 165, S.A. DE C.V.",DSB1849-568,2025-03-06,77270.33,84997.36,USD,77270.33,7727.03,2549.92,,849.97,,0,0.09090905882253286
Abaco Technologies,CLIAB001165,"EMPRESA EJEMPLO 166, S.A. DE C.V.","PAGADOR EJEMPLO 166, S.A. DE C.V.",DSB9047-683,2025-04-16,17198.76,18918.64,USD,17198.76,1719.88,567.56,,189.19,,0,0.09090928311971691
Abaco Financial,CLIAB001166,"EMPRESA EJEMPLO 167, S.A. DE C.V.","PAGADOR EJEMPLO 167, S.A. DE C.V.",DSB2780-973,2026-03-18,86937.38,95631.12,USD,86937.38,8693.74,2868.93,,956.31,,0,0.09090910992154011
Abaco Technologies,CLIAB001167,"EMPRESA EJEMPLO 168, S.A. DE C.V.","PAGADOR EJEMPLO 168, S.A. DE C.V.",DSB1372-614,2025-08-31,76249.31,83874.24,USD,76249.31,7624.93,2516.23,,838.74,,0,0.09090908007035303
Abaco Financial,CLIAB001168,"EMPRESA EJEMPLO 169, S.A. DE C.V.","PAGADOR EJEMPLO 169, S.A. DE C.V.",DSB3715-976,2025-10-04,86944.16,95638.58,USD,86944.16,8694.42,2869.16,,956.39,,0,0.09090912893102343
Abaco Financial,CLIAB001169,"EMPRESA EJEMPLO 170, S.A. DE C.V.","PAGADOR EJEMPLO 170, S.A. DE C.V.",DSB2551-564,2025-04-12,77883.09,85671.4,USD,77883.09,7788.31,2570.14,,856.71,,0,0.09090910152046072
Abaco Technologies,CLIAB001170,"EMPRESA EJEMPLO 171, S.A. DE C.V.","PAGADOR EJEMPLO 171, S.A. DE C.V.",DSB2296-250,2025-06-02,96783.62,106461.98,USD,96783.62,9678.36,3193.86,,1064.62,,0,0.09090907383086433
Abaco Financial,CLIAB001171,"EMPRESA EJEMPLO 172, S.A. DE C.V.","PAGADOR EJEMPLO 172, S.A. DE C.V.",DSB7069-241,2025-04-20,23328.47,25661.32,USD,23328.47,2332.85,769.84,,256.61,,0,0.09090919718860913
Abaco Financial,CLIAB001172,"EMPRESA EJEMPLO 173, S.A. DE C.V.","PAGADOR EJEMPLO 173, S.A. DE C.V.",DSB8076-064,2025-07-30,15808.48,17389.33,USD,15808.48,1580.85,521.68,,173.89,,0,0.0909091954664154
Abaco Financial,CLIAB001173,"EMPRESA EJEMPLO 174, S.A. DE C.V.","PAGADOR EJEMPLO 174, S.A. DE C.V.",DSB6194-590,2025-08-31,4922.26,5414.49,USD,4922.26,492.23,162.43,,54.14,,0,0.09090976250764149
Abaco Financial,CLIAB001174,"EMPRESA EJEMPLO 175, S.A. DE C.V.","PAGADOR EJEMPLO 175, S.A. DE C.V.",DSB9878-396,2025-04-02,62197.42,68417.16,USD,62197.42,6219.74,2052.51,,684.17,,0,0.09090906433415247
Abaco Financial,CLIAB001175,"EMPRESA EJEMPLO 176, S.A. DE C.V.","PAGADOR EJEMPLO 176, S.A. DE C.V.",DSB5315-048,2025-01-30,35712.07,39283.28,USD,35712.07,3571.21,1178.5,,392.83,,0,0.09090916033488039
Abaco Financial,CLIAB001176,"EMPRESA EJEMPLO 177, S.A. DE C.V.","PAGADOR EJEMPLO 177, S.A. DE C.V.",DSB1901-947,2025-09-09,82322.63,90554.89,USD,82322.63,8232.26,2716.65,,905.55,,0,0.09090906079174732
Abaco Technologies,CLIAB001177,"EMPRESA EJEMPLO 178, S.A. DE C.V.","PAGADOR EJEMPLO 178, S.A. DE C.V.",DSB9985-538,2025-12-07,62043.85,68248.24,USD,62043.85,6204.39,2047.45,,682.48,,0,0.09090915751087514
Abaco Financial,CLIAB001178,"EMPRESA EJEMPLO 179, S.A. DE C.V.","PAGADOR EJEMPLO 179, S.A. DE C.V.",DSB7566-488,2025-08-26,48955.45,53851.0,USD,48955.45,4895.55,1615.53,,538.51,,0,0.09090917531707865
Abaco Financial,CLIAB001179,"EMPRESA EJEMPLO 180, S.A. DE C.V.","PAGADOR EJEMPLO 180, S.A. DE C.V.",DSB6019-759,2025-05-29,17235.95,18959.55,USD,17235.95,1723.6,568.79,,189.6,,0,0.0909093306539448
Abaco Financial,CLIAB001180,"EMPRESA EJEMPLO 181, S.A. DE C.V.","PAGADOR EJEMPLO 181, S.A. DE C.V.",DSB3399-986,2025-10-21,97610.66,107371.73,USD,97610.66,9761.07,3221.15,,1073.72,,0,0.09090912477613977
Abaco Financial,CLIAB001181,"EMPRESA EJEMPLO 182, S.A. DE C.V.","PAGADOR EJEMPLO 182, S.A. DE C.V.",DSB2773-736,2025-11-01,72200.98,79421.08,USD,72200.98,7220.1,2382.63,,794.21,,0,0.09090911380202849
Abaco Technologies,CLIAB001182,"EMPRESA EJEMPLO 183, S.A. DE C.V.","PAGADOR EJEMPLO 183, S.A. DE C.V.",DSB3712-574,2025-01-29,8147.64,8962.4,USD,8147.64,814.76,268.87,,89.62,,0,0.09090868517361417
Abaco Financial,CLIAB001183,"EMPRESA EJEMPLO 184, S.A. DE C.V.","PAGADOR EJEMPLO 184, S.A. DE C.V.",DSB2458-065,2025-02-21,43123.84,47436.22,USD,43123.84,4312.38,1423.09,,474.36,,0,0.09090901425113562
Abaco Financial,CLIAB001184,"EMPRESA EJEMPLO 185, S.A. DE C.V.","PAGADOR EJEMPLO 185, S.A. DE C.V.",DSB5613-859,2025-12-05,44422.93,48865.22,USD,44422.93,4442.29,1465.96,,488.65,,0,0.09090903509694626
Abaco Technologies,CLIAB001185,"EMPRESA EJEMPLO 186, S.A. DE C.V.","PAGADOR EJEMPLO 186, S.A. DE C.V.",DSB7207-126,2025-09-08,29101.6,32011.76,USD,29101.6,2910.16,960.35,,320.12,,0,0.09090909090909094
Abaco Financial,CLIAB001186,"EMPRESA EJEMPLO 187, S.A. DE C.V.","PAGADOR EJEMPLO 187, S.A. DE C.V.",DSB8025-518,2025-03-25,90994.22,100093.64,USD,90994.22,9099.42,3002.81,,1000.94,,0,0.09090907274428228
Abaco Technologies,CLIAB001187,"EMPRESA EJEMPLO 188, S.A. DE C.V.","PAGADOR EJEMPLO 188, S.A. DE C.V.",DSB3330-785,2025-02-20,25475.88,28023.47,USD,25475.88,2547.59,840.7,,280.23,,0,0.09090915578977188
Abaco Technologies,CLIAB001188,"EMPRESA EJEMPLO 189, S.A. DE C.V.","PAGADOR EJEMPLO 189, S.A. DE C.V.",DSB9594-149,2025-07-17,31902.66,35092.93,USD,31902.66,3190.27,1052.79,,350.93,,0,0.0909091945300663
Abaco Technologies,CLIAB001189,"EMPRESA EJEMPLO 190, S.A. DE C.V.","PAGADOR EJEMPLO 190, S.A. DE C.V.",DSB3797-981,2025-05-13,45925.16,50517.68,USD,45925.16,4592.52,1515.53,,505.18,,0,0.09090916289109074
Abaco Financial,CLIAB001190,"EMPRESA EJEMPLO 191, S.A. DE C.V.","PAGADOR EJEMPLO 191, S.A. DE C.V.",DSB9480-699,2025-06-12,45493.95,50043.35,USD,45493.95,4549.4,1501.3,,500.43,,0,0.09090918173943197
Abaco Financial,CLIAB001191,"EMPRESA EJEMPLO 192, S.A. DE C.V.","PAGADOR EJEMPLO 192, S.A. DE C.V.",DSB1004-709,2025-11-30,53817.68,59199.45,USD,53817.68,5381.77,1775.98,,591.99,,0,0.0909091216219069
Abaco Technologies,CLIAB001192,"EMPRESA EJEMPLO 193, S.A. DE C.V.","PAGADOR EJEMPLO 193, S.A. DE C.V.",DSB9850-800,2025-08-11,4384.59,4823.05,USD,4384.59,438.46,144.69,,48.23,,0,0.0909092793978914
Abaco Technologies,CLIAB001193,"EMPRESA EJEMPLO 194, S.A. DE C.V.","PAGADOR EJEMPLO 194, S.A. DE C.V.",DSB7450-810,2025-09-04,18821.03,20703.13,USD,18821.03,1882.1,621.09,,207.03,,0,0.09090895917670427
Abaco Financial,CLIAB001194,"EMPRESA EJEMPLO 195, S.A. DE C.V.","PAGADOR EJEMPLO 195, S.A. DE C.V.",DSB9081-705,2025-07-10,1489.06,1637.97,USD,1489.06,148.91,49.14,,16.38,,0,0.09091131095197114
Abaco Financial,CLIAB001195,"EMPRESA EJEMPLO 196, S.A. DE C.V.","PAGADOR EJEMPLO 196, S.A. DE C.V.",DSB2808-141,2025-05-05,3967.39,4364.13,USD,3967.39,396.74,130.92,,43.64,,0,0.09090929921885926
Abaco Technologies,CLIAB001196,"EMPRESA EJEMPLO 197, S.A. DE C.V.","PAGADOR EJEMPLO 197, S.A. DE C.V.",DSB9032-228,2025-01-30,67587.61,74346.37,USD,67587.61,6758.76,2230.39,,743.46,,0,0.09090907868131282
Abaco Financial,CLIAB001197,"EMPRESA EJEMPLO 198, S.A. DE C.V.","PAGADOR EJEMPLO 198, S.A. DE C.V.",DSB2258-517,2025-03-12,2734.08,3007.49,USD,2734.08,273.41,90.22,,30.07,,0,0.090909695460334
Abaco Financial,CLIAB001198,"EMPRESA EJEMPLO 199, S.A. DE C.V.","PAGADOR EJEMPLO 199, S.A. DE C.V.",DSB2061-862,2025-12-31,67974.83,74772.31,USD,67974.83,6797.48,2243.17,,747.72,,0,0.09090905443472319
Abaco Technologies,CLIAB001199,"EMPRESA EJEMPLO 200, S.A. DE C.V.","PAGADOR EJEMPLO 200, S.A. DE C.V.",DSB8404-330,2025-05-02,60890.44,66979.48,USD,60890.44,6089.04,2009.38,,669.79,,0,0.09090903661837912
Abaco Financial,CLIAB001200,"EMPRESA EJEMPLO 201, S.A. DE C.V.","PAGADOR EJEMPLO 201, S.A. DE C.V.",DSB3151-522,2025-06-18,87973.04,96770.34,USD,87973.04,8797.3,2903.11,,967.7,,0,0.09090905333183708
Abaco Financial,CLIAB001201,"EMPRESA EJEMPLO 202, S.A. DE C.V.","PAGADOR EJEMPLO 202, S.A. DE C.V.",DSB6592-022,2024-12-23,44122.75,48535.03,USD,44122.75,4412.28,1456.05,,485.35,,0,0.09090918456216057
Abaco Technologies,CLIAB001202,"EMPRESA EJEMPLO 203, S.A. DE C.V.","PAGADOR EJEMPLO 203, S.A. DE C.V.",DSB5709-104,2025-02-03,56780.45,62458.5,USD,56780.45,5678.05,1873.75,,624.58,,0,0.09090916368468671
Abaco Financial,CLIAB001203,"EMPRESA EJEMPLO 204, S.A. DE C.V.","PAGADOR EJEMPLO 204, S.A. DE C.V.",DSB5724-094,2025-02-03,59119.11,65031.02,USD,59119.11,5911.91,1950.93,,650.31,,0,0.09090907692974826
Abaco Financial,CLIAB001204,"EMPRESA EJEMPLO 205, S.A. DE C.V.","PAGADOR EJEMPLO 205, S.A. DE C.V.",DSB1196-901,2025-08-09,48439.01,53282.91,USD,48439.01,4843.9,1598.49,,532.83,,0,0.09090907384750568
Abaco Financial,CLIAB001205,"EMPRESA EJEMPLO 206, S.A. DE C.V.","PAGADOR EJEMPLO 206, S.A. DE C.V.",DSB5198-328,2025-10-20,61182.6,67300.86,USD,61182.6,6118.26,2019.03,,673.01,,0,0.09090909090909094
Abaco Financial,CLIAB001206,"EMPRESA EJEMPLO 207, S.A. DE C.V.","PAGADOR EJEMPLO 207, S.A. DE C.V.",DSB9620-269,2025-12-04,1748.72,1923.59,USD,1748.72,174.87,57.71,,19.24,,0,0.09090814570672534
Abaco Technologies,CLIAB001207,"EMPRESA EJEMPLO 208, S.A. DE C.V.","PAGADOR EJEMPLO 208, S.A. DE C.V.",DSB2517-442,2025-05-19,35810.65,39391.72,USD,35810.65,3581.07,1181.75,,393.92,,0,0.09090920630020727
Abaco Financial,CLIAB001208,"EMPRESA EJEMPLO 209, S.A. DE C.V.","PAGADOR EJEMPLO 209, S.A. DE C.V.",DSB5301-307,2025-01-09,54376.97,59814.67,USD,54376.97,5437.7,1794.44,,598.15,,0,0.09090913650447285
Abaco Financial,CLIAB001209,"EMPRESA EJEMPLO 210, S.A. DE C.V.","PAGADOR EJEMPLO 210, S.A. DE C.V.",DSB7479-969,2025-10-11,18933.79,20827.17,USD,18933.79,1893.38,624.82,,208.27,,0,0.09090913455836758
Abaco Technologies,CLIAB001210,"EMPRESA EJEMPLO 211, S.A. DE C.V.","PAGADOR EJEMPLO 211, S.A. DE C.V.",DSB7439-019,2025-09-01,48871.02,53758.12,USD,48871.02,4887.1,1612.74,,537.58,,0,0.09090905708756192
