Company,Customer ID,Cliente,Pagador,Application ID,Loan ID,Product Type,Disbursement Date,TPV,Disbursement Amount,Origination Fee,Origination Fee Taxes,Loan Currency,Interest Rate APR,Term,Term Unit,Payment Frequency,Days in Default,Loan Status,Outstanding Loan Value,Pledge To,Pledge Date,Other,New Loan ID,New Loan Date,Old Loan ID,Recovery Date,Recovery Value,delinquency_bucket,risk_score,advance_rate
Abaco Financial,CLIAB001080,"EMPRESA EJEMPLO 81, S.A. DE C.V.","PAGADOR EJEMPLO 81, S.A. DE C.V.",DSB3958-829,DSB3958-829,factoring,2025-07-08,13676.54,11252.86,337.59,43.89,USD,0.3244,120,days,bullet,0,Current,12264.96,,,,,,,,,current,0.16956000000000002,0.8227855875828243
Abaco Financial,CLIAB001081,"EMPRESA EJEMPLO 82, S.A. DE C.V.","PAGADOR EJEMPLO 82, S.A. DE C.V.",DSB1898-193,DSB1898-193,factoring,2025-03-01,47922.2,43136.39,1294.09,168.23,USD,0.3005,90,days,bullet,0,Current,13350.66,,,,,,,,,current,0.1626,0.9001337584668484
Abaco Technologies,CLIAB001082,"EMPRESA EJEMPLO 83, S.A. DE C.V.","PAGADOR EJEMPLO 83, S.A. DE C.V.",DSB2505-009,DSB2505-009,factoring,2025-03-28,18524.04,15065.7,451.97,58.76,USD,0.2836,120,days,bullet,0,Current,9325.32,,,,,,,,,current,0.14604,0.813305304890294
Abaco Technologies,CLIAB001083,"EMPRESA EJEMPLO 84, S.A. DE C.V.","PAGADOR EJEMPLO 84, S.A. DE C.V.",DSB6733-153,DSB6733-153,factoring,2025-06-07,69349.09,55888.21,1676.65,217.96,USD,0.2703,90,days,bullet,3,Current,19201.21,,,,,,,,,early_delinquent,0.16858666666666666,0.8058968041253317
Abaco Technologies,CLIAB001084,"EMPRESA EJEMPLO 85, S.A. DE C.V.","PAGADOR EJEMPLO 85, S.A. DE C.V.",DSB2974-794,DSB2974-794,factoring,2024-12-28,80813.93,73721.61,2211.65,287.51,USD,0.3966,60,days,bullet,0,Current,58227.73,,,,,,,,,current,0.25024,0.9122388924780667
Abaco Technologies,CLIAB001085,"EMPRESA EJEMPLO 86, S.A. DE C.V.","PAGADOR EJEMPLO 86, S.A. DE C.V.",DSB3456-069,DSB3456-069,factoring,2025-09-07,7171.79,5896.37,176.89,23.0,USD,0.3283,90,days,bullet,0,Current,3208.75,,,,,,,,,current,0.14632,0.8221615524157846
Abaco Technologies,CLIAB001086,"EMPRESA EJEMPLO 87, S.A. DE C.V.","PAGADOR EJEMPLO 87, S.A. DE C.V.",DSB4352-879,DSB4352-879,factoring,2024-11-09,53729.11,44937.45,1348.12,175.26,USD,0.3344,120,days,bullet,0,Current,11360.91,,,,,,,,,current,0.17096,0.8363706378162601
Abaco Technologies,CLIAB001087,"EMPRESA EJEMPLO 88, S.A. DE C.V.","PAGADOR EJEMPLO 88, S.A. DE C.V.",DSB9862-395,DSB9862-395,factoring,2025-09-14,33422.24,27338.2,820.15,106.62,USD,0.2357,30,days,bullet,0,Complete,16659.05,,,,,,,,,current,0.14348,0.8179643255508907
Abaco Financial,CLIAB001088,"EMPRESA EJEMPLO 89, S.A. DE C.V.","PAGADOR EJEMPLO 89, S.A. DE C.V.",DSB9982-159,DSB9982-159,factoring,2025-01-01,9605.11,8457.93,253.74,32.99,USD,0.2894,30,days,bullet,0,Current,3241.21,,,,,,,,,current,0.13096,0.880565657238699
Abaco Technologies,CLIAB001089,"EMPRESA EJEMPLO 90, S.A. DE C.V.","PAGADOR EJEMPLO 90, S.A. DE C.V.",DSB3481-909,DSB3481-909,factoring,2024-11-08,90065.09,80260.0,2407.8,313.01,USD,0.239,180,days,bullet,0,Complete,678.58,,,,,,,,,current,0.0984,0.8911332903792135
Abaco Financial,CLIAB001090,"EMPRESA EJEMPLO 91, S.A. DE C.V.","PAGADOR EJEMPLO 91, S.A. DE C.V.",DSB3517-821,DSB3517-821,factoring,2025-07-02,23307.95,19923.72,597.71,77.7,USD,0.1902,90,days,bullet,0,Complete,1297.17,,,,,,,,,current,0.08188000000000001,0.8548036185078483
Abaco Technologies,CLIAB001091,"EMPRESA EJEMPLO 92, S.A. DE C.V.","PAGADOR EJEMPLO 92, S.A. DE C.V.",DSB2394-914,DSB2394-914,factoring,2025-05-14,84389.09,68164.89,2044.95,265.84,USD,0.2526,120,days,bullet,90,Complete,48607.98,,,,,,,,,late_delinquent,0.38764000000000004,0.8077452902975966
Abaco Financial,CLIAB001092,"EMPRESA EJEMPLO 93, S.A. DE C.V.","PAGADOR EJEMPLO 93, S.A. DE C.V.",DSB5047-384,DSB5047-384,factoring,2025-04-15,91822.17,73530.73,2205.92,286.77,USD,0.2145,90,days,bullet,0,Complete,49128.23,,,,,,,,,current,0.173,0.8007949496292671
Abaco Technologies,CLIAB001093,"EMPRESA EJEMPLO 94, S.A. DE C.V.","PAGADOR EJEMPLO 94, S.A. DE C.V.",DSB2996-017,DSB2996-017,factoring,2024-10-19,48185.33,44609.37,1338.28,173.98,USD,0.1968,120,days,bullet,0,Current,11680.59,,,,,,,,,current,0.11692000000000002,0.9257873713846102
Abaco Financial,CLIAB001094,"EMPRESA EJEMPLO 95, S.A. DE C.V.","PAGADOR EJEMPLO 95, S.A. DE C.V.",DSB9884-937,DSB9884-937,factoring,2025-01-22,12368.85,11027.98,330.84,43.01,USD,0.1718,90,days,bullet,5,Current,7345.65,,,,,,,,,early_delinquent,0.10923111111111111,0.8915929936897933
Abaco Technologies,CLIAB001095,"EMPRESA EJEMPLO 96, S.A. DE C.V.","PAGADOR EJEMPLO 96, S.A. DE C.V.",DSB5967-087,DSB5967-087,factoring,2025-04-06,37553.82,32601.98,978.06,127.15,USD,0.1658,120,days,bullet,0,Current,3299.78,,,,,,,,,current,0.08192,0.8681401785490797
Abaco Technologies,CLIAB001096,"EMPRESA EJEMPLO 97, S.A. DE C.V.","PAGADOR EJEMPLO 97, S.A. DE C.V.",DSB5739-350,DSB5739-350,factoring,2025-03-16,14743.65,11800.92,354.03,46.02,USD,0.2989,90,days,bullet,0,Complete,12246.36,,,,,,,,,current,0.15916,0.8004069548585323
Abaco Financial,CLIAB001097,"EMPRESA EJEMPLO 98, S.A. DE C.V.","PAGADOR EJEMPLO 98, S.A. DE C.V.",DSB8767-494,DSB8767-494,factoring,2025-09-25,96537.66,79030.04,2370.9,308.22,USD,0.3977,60,days,bullet,0,Current,71546.06,,,,,,,,,current,0.25608,0.8186446615755965
Abaco Financial,CLIAB001098,"EMPRESA EJEMPLO 99, S.A. DE C.V.","PAGADOR EJEMPLO 99, S.A. DE C.V.",DSB5672-677,DSB5672-677,factoring,2025-04-05,57872.84,53606.12,1608.18,209.06,USD,0.357,180,days,bullet,0,Current,9506.53,,,,,,,,,current,0.1756,0.9262742246622078
Abaco Financial,CLIAB001099,"EMPRESA EJEMPLO 100, S.A. DE C.V.","PAGADOR EJEMPLO 100, S.A. DE C.V.",DSB2147-745,DSB2147-745,factoring,2025-07-08,81642.9,73460.61,2203.82,286.5,USD,0.377,30,days,bullet,1,Current,66669.54,,,,,,,,,early_delinquent,0.2474222222222222,0.8997795276747887
Abaco Technologies,CLIAB001100,"EMPRESA EJEMPLO 101, S.A. DE C.V.","PAGADOR EJEMPLO 101, S.A. DE C.V.",DSB2966-208,DSB2966-208,factoring,2025-05-06,44474.36,38094.14,1142.82,148.57,USD,0.306,30,days,bullet,0,Current,10327.51,,,,,,,,,current,0.15660000000000002,0.8565416118410698
Abaco Financial,CLIAB001101,"EMPRESA EJEMPLO 102, S.A. DE C.V.","PAGADOR EJEMPLO 102, S.A. DE C.V.",DSB4939-350,DSB4939-350,factoring,2025-09-09,90057.88,77232.17,2316.97,301.21,USD,0.1667,90,days,bullet,0,Current,29972.69,,,,,,,,,current,0.13388,0.8575837006156485
Abaco Financial,CLIAB001102,"EMPRESA EJEMPLO 103, S.A. DE C.V.","PAGADOR EJEMPLO 103, S.A. DE C.V.",DSB1772-589,DSB1772-589,factoring,2024-12-20,73324.36,66289.45,1988.68,258.53,USD,0.3485,180,days,bullet,0,Complete,42025.92,,,,,,,,,current,0.2204,0.9040576692384359
Abaco Technologies,CLIAB001103,"EMPRESA EJEMPLO 104, S.A. DE C.V.","PAGADOR EJEMPLO 104, S.A. DE C.V.",DSB4997-371,DSB4997-371,factoring,2025-08-01,99771.57,91077.52,2732.33,355.2,USD,0.2121,30,days,bullet,0,Current,76071.7,,,,,,,,,current,0.18364000000000003,0.9128604471193548
Abaco Financial,CLIAB001104,"EMPRESA EJEMPLO 105, S.A. DE C.V.","PAGADOR EJEMPLO 105, S.A. DE C.V.",DSB1191-425,DSB1191-425,factoring,2025-01-13,87799.8,74745.04,2242.35,291.51,USD,0.2841,120,days,bullet,0,Current,44100.82,,,,,,,,,current,0.19684000000000001,0.8513121897771976
Abaco Financial,CLIAB001105,"EMPRESA EJEMPLO 106, S.A. DE C.V.","PAGADOR EJEMPLO 106, S.A. DE C.V.",DSB8346-293,DSB8346-293,factoring,2025-07-31,54446.2,47529.01,1425.87,185.36,USD,0.3306,60,days,bullet,0,Current,30789.78,,,,,,,,,current,0.20084000000000002,0.8729536680245822
Abaco Financial,CLIAB001106,"EMPRESA EJEMPLO 107, S.A. DE C.V.","PAGADOR EJEMPLO 107, S.A. DE C.V.",DSB6552-693,DSB6552-693,factoring,2025-05-03,71901.73,63982.07,1919.46,249.53,USD,0.1954,60,days,bullet,0,Current,30457.35,,,,,,,,,current,0.14576,0.8898543887608824
Abaco Financial,CLIAB001107,"EMPRESA EJEMPLO 108, S.A. DE C.V.","PAGADOR EJEMPLO 108, S.A. DE C.V.",DSB5806-603,DSB5806-603,factoring,2025-05-22,29505.03,26325.64,789.77,102.67,USD,0.2966,60,days,bullet,0,Current,25732.04,,,,,,,,,current,0.18044,0.8922424413735557
Abaco Financial,CLIAB001108,"EMPRESA EJEMPLO 109, S.A. DE C.V.","PAGADOR EJEMPLO 109, S.A. DE C.V.",DSB8300-493,DSB8300-493,factoring,2025-04-15,93279.71,82531.09,2475.93,321.87,USD,0.3475,180,days,bullet,0,Current,53756.01,,,,,,,,,current,0.2286,0.8847700105414135
Abaco Technologies,CLIAB001109,"EMPRESA EJEMPLO 110, S.A. DE C.V.","PAGADOR EJEMPLO 110, S.A. DE C.V.",DSB9329-211,DSB9329-211,factoring,2024-12-11,61064.79,52736.75,1582.1,205.67,USD,0.1761,30,days,bullet,3,Current,6914.86,,,,,,,,,early_delinquent,0.10530666666666667,0.8636196079606595
Abaco Financial,CLIAB001110,"EMPRESA EJEMPLO 111, S.A. DE C.V.","PAGADOR EJEMPLO 111, S.A. DE C.V.",DSB3001-368,DSB3001-368,factoring,2025-07-23,98499.28,91194.05,2735.82,355.66,USD,0.3594,30,days,bullet,1,Current,58240.2,,,,,,,,,early_delinquent,0.23778222222222223,0.925834686304306
Abaco Technologies,CLIAB001111,"EMPRESA EJEMPLO 112, S.A. DE C.V.","PAGADOR EJEMPLO 112, S.A. DE C.V.",DSB5949-466,DSB5949-466,factoring,2025-05-17,40501.27,32733.7,982.01,127.66,USD,0.2014,30,days,bullet,0,Current,16126.34,,,,,,,,,current,0.12776,0.8082141621731862
Abaco Financial,CLIAB001112,"EMPRESA EJEMPLO 113, S.A. DE C.V.","PAGADOR EJEMPLO 113, S.A. DE C.V.",DSB2645-471,DSB2645-471,factoring,2024-11-05,54202.16,50840.46,1525.21,198.28,USD,0.2664,90,days,bullet,0,Current,12174.07,,,,,,,,,current,0.14596000000000003,0.937978486466222
Abaco Financial,CLIAB001113,"EMPRESA EJEMPLO 114, S.A. DE C.V.","PAGADOR EJEMPLO 114, S.A. DE C.V.",DSB7432-085,DSB7432-085,factoring,2025-09-28,45791.51,37600.72,1128.02,146.64,USD,0.2944,120,days,bullet,0,Complete,16594.56,,,,,,,,,current,0.16636,0.8211286327967783
Abaco Financial,CLIAB001114,"EMPRESA EJEMPLO 115, S.A. DE C.V.","PAGADOR EJEMPLO 115, S.A. DE C.V.",DSB8780-157,DSB8780-157,factoring,2024-12-08,58478.25,52328.65,1569.86,204.08,USD,0.2032,30,days,bullet,0,Default,8693.54,,,,,,,,,current,0.41268,0.8948395343567908
Abaco Technologies,CLIAB001115,"EMPRESA EJEMPLO 116, S.A. DE C.V.","PAGADOR EJEMPLO 116, S.A. DE C.V.",DSB8070-824,DSB8070-824,factoring,2025-09-27,42047.79,34176.55,1025.3,133.29,USD,0.1961,30,days,bullet,0,Current,17945.53,,,,,,,,,current,0.12964,0.8128025277904024
Abaco Financial,CLIAB001116,"EMPRESA EJEMPLO 117, S.A. DE C.V.","PAGADOR EJEMPLO 117, S.A. DE C.V.",DSB1081-733,DSB1081-733,factoring,2025-07-07,80178.42,68344.73,2050.34,266.54,USD,0.1977,180,days,bullet,0,Complete,47101.1,,,,,,,,,current,0.16408,0.8524080419644089
Abaco Financial,CLIAB001117,"EMPRESA EJEMPLO 118, S.A. DE C.V.","PAGADOR EJEMPLO 118, S.A. DE C.V.",DSB4712-440,DSB4712-440,factoring,2025-09-07,30110.42,27313.43,819.4,106.52,USD,0.2811,120,days,bullet,0,Current,23045.2,,,,,,,,,current,0.17164000000000001,0.9071089011710897
Abaco Technologies,CLIAB001118,"EMPRESA EJEMPLO 119, S.A. DE C.V.","PAGADOR EJEMPLO 119, S.A. DE C.V.",DSB9145-232,DSB9145-232,factoring,2025-04-01,11195.17,9517.62,285.53,37.12,USD,0.3865,60,days,bullet,0,Current,4575.85,,,,,,,,,current,0.17440000000000003,0.8501541289681176
Abaco Financial,CLIAB001119,"EMPRESA EJEMPLO 120, S.A. DE C.V.","PAGADOR EJEMPLO 120, S.A. DE C.V.",DSB8352-537,DSB8352-537,factoring,2024-10-13,3513.25,2892.89,86.79,11.28,USD,0.3667,30,days,bullet,0,Current,688.99,,,,,,,,,current,0.14988,0.823422756706753
Abaco Technologies,CLIAB001120,"EMPRESA EJEMPLO 121, S.A. DE C.V.","PAGADOR EJEMPLO 121, S.A. DE C.V.",DSB3100-429,DSB3100-429,factoring,2025-04-07,51045.28,45392.39,1361.77,177.03,USD,0.35,90,days,bullet,1,Current,36794.11,,,,,,,,,early_delinquent,0.2188222222222222,0.8892573417170011
Abaco Financial,CLIAB001121,"EMPRESA EJEMPLO 122, S.A. DE C.V.","PAGADOR EJEMPLO 122, S.A. DE C.V.",DSB3750-449,DSB3750-449,factoring,2024-11-01,80726.18,76553.39,2296.6,298.56,USD,0.3639,90,days,bullet,10,Complete,11389.0,,,,,,,,,early_delinquent,0.20538222222222222,0.9483093340970675
Abaco Financial,CLIAB001122,"EMPRESA EJEMPLO 123, S.A. DE C.V.","PAGADOR EJEMPLO 123, S.A. DE C.V.",DSB6782-514,DSB6782-514,factoring,2024-11-08,41232.84,34990.13,1049.7,136.46,USD,0.1533,30,days,bullet,0,Current,7481.1,,,,,,,,,current,0.09112,0.848598592772169
Abaco Financial,CLIAB001123,"EMPRESA EJEMPLO 124, S.A. DE C.V.","PAGADOR EJEMPLO 124, S.A. DE C.V.",DSB7016-307,DSB7016-307,factoring,2025-02-25,58721.11,50688.87,1520.67,197.69,USD,0.3777,180,days,bullet,0,Current,22295.96,,,,,,,,,current,0.20867999999999998,0.8632137573693686
Abaco Technologies,CLIAB001124,"EMPRESA EJEMPLO 125, S.A. DE C.V.","PAGADOR EJEMPLO 125, S.A. DE C.V.",DSB9763-863,DSB9763-863,factoring,2024-10-10,59439.2,49941.38,1498.24,194.77,USD,0.2363,30,days,bullet,0,Current,56375.31,,,,,,,,,current,0.18552000000000002,0.8402094913794264
Abaco Financial,CLIAB001125,"EMPRESA EJEMPLO 126, S.A. DE C.V.","PAGADOR EJEMPLO 126, S.A. DE C.V.",DSB2204-014,DSB2204-014,factoring,2025-07-02,76596.97,62887.42,1886.62,245.26,USD,0.2914,90,days,bullet,1,Complete,32570.07,,,,,,,,,early_delinquent,0.1905822222222222,0.8210170715630135
Abaco Financial,CLIAB001126,"EMPRESA EJEMPLO 127, S.A. DE C.V.","PAGADOR EJEMPLO 127, S.A. DE C.V.",DSB7194-038,DSB7194-038,factoring,2025-01-22,3224.46,2709.52,81.29,10.57,USD,0.3247,30,days,bullet,0,Current,2692.2,,,,,,,,,current,0.14228,0.8403019420306036
Abaco Technologies,CLIAB001127,"EMPRESA EJEMPLO 128, S.A. DE C.V.","PAGADOR EJEMPLO 128, S.A. DE C.V.",DSB7862-648,DSB7862-648,factoring,2025-06-26,98455.82,86528.24,2595.85,337.46,USD,0.3228,180,days,bullet,0,Complete,11593.28,,,,,,,,,current,0.16691999999999999,0.8788534796622485
Abaco Technologies,CLIAB001128,"EMPRESA EJEMPLO 129, S.A. DE C.V.","PAGADOR EJEMPLO 129, S.A. DE C.V.",DSB1569-218,DSB1569-218,factoring,2024-11-04,58075.13,48847.47,1465.42,190.51,USD,0.2513,60,days,bullet,0,Current,8131.59,,,,,,,,,current,0.13132000000000002,0.8411082334210875
Abaco Technologies,CLIAB001129,"EMPRESA EJEMPLO 130, S.A. DE C.V.","PAGADOR EJEMPLO 130, S.A. DE C.V.",DSB6675-322,DSB6675-322,factoring,2025-05-09,27104.7,22767.26,683.02,88.79,USD,0.2994,120,days,bullet,0,Current,15538.97,,,,,,,,,current,0.16556,0.8399746169483521
Abaco Financial,CLIAB001130,"EMPRESA EJEMPLO 131, S.A. DE C.V.","PAGADOR EJEMPLO 131, S.A. DE C.V.",DSB6652-224,DSB6652-224,factoring,2025-02-10,83972.59,72271.62,2168.15,281.86,USD,0.2797,60,days,bullet,0,Complete,6952.82,,,,,,,,,current,0.14048,0.8606572692351159
Abaco Technologies,CLIAB001131,"EMPRESA EJEMPLO 132, S.A. DE C.V.","PAGADOR EJEMPLO 132, S.A. DE C.V.",DSB9521-100,DSB9521-100,factoring,2024-11-21,60712.06,50803.99,1524.12,198.14,USD,0.3593,90,days,bullet,0,Complete,18038.87,,,,,,,,,current,0.19532000000000002,0.8368022761869718
Abaco Technologies,CLIAB001132,"EMPRESA EJEMPLO 133, S.A. DE C.V.","PAGADOR EJEMPLO 133, S.A. DE C.V.",DSB7808-026,DSB7808-026,factoring,2025-04-16,57074.06,49734.77,1492.04,193.97,USD,0.3885,180,days,bullet,0,Current,30811.02,,,,,,,,,current,0.2242,0.8714076061874694
Abaco Technologies,CLIAB001133,"EMPRESA EJEMPLO 134, S.A. DE C.V.","PAGADOR EJEMPLO 134, S.A. DE C.V.",DSB9521-075,DSB9521-075,factoring,2025-01-05,17039.37,15782.37,473.47,61.55,USD,0.2741,180,days,bullet,0,Current,8080.71,,,,,,,,,current,0.14024000000000003,0.9262296669419117
Abaco Technologies,CLIAB001134,"EMPRESA EJEMPLO 135, S.A. DE C.V.","PAGADOR EJEMPLO 135, S.A. DE C.V.",DSB3476-701,DSB3476-701,factoring,2025-07-17,35093.99,29925.73,897.77,116.71,USD,0.2739,90,days,bullet,0,Current,2664.81,,,,,,,,,current,0.12155999999999999,0.8527309091955632
Abaco Technologies,CLIAB001135,"EMPRESA EJEMPLO 136, S.A. DE C.V.","PAGADOR EJEMPLO 136, S.A. DE C.V.",DSB9708-903,DSB9708-903,factoring,2025-08-08,8698.77,6962.07,208.86,27.15,USD,0.218,60,days,bullet,0,Current,7023.65,,,,,,,,,current,0.11599999999999999,0.8003510841187891
Abaco Technologies,CLIAB001136,"EMPRESA EJEMPLO 137, S.A. DE C.V.","PAGADOR EJEMPLO 137, S.A. DE C.V.",DSB5446-163,DSB5446-163,factoring,2025-07-14,96247.78,88403.78,2652.11,344.77,USD,0.2615,120,days,bullet,0,Complete,70475.02,,,,,,,,,current,0.20040000000000002,0.9185020163581955
Abaco Financial,CLIAB001137,"EMPRESA EJEMPLO 138, S.A. DE C.V.","PAGADOR EJEMPLO 138, S.A. DE C.V.",DSB7364-755,DSB7364-755,factoring,2025-01-03,80849.55,72668.99,2180.07,283.41,USD,0.3093,30,days,bullet,3,Current,56042.91,,,,,,,,,early_delinquent,0.2207866666666667,0.8988174949644123
Abaco Financial,CLIAB001138,"EMPRESA EJEMPLO 139, S.A. DE C.V.","PAGADOR EJEMPLO 139, S.A. DE C.V.",DSB6030-518,DSB6030-518,factoring,2024-12-13,6107.98,5500.16,165.0,21.45,USD,0.3264,30,days,bullet,0,Current,5591.79,,,,,,,,,current,0.15456,0.9004875588983592
Abaco Technologies,CLIAB001139,"EMPRESA EJEMPLO 140, S.A. DE C.V.","PAGADOR EJEMPLO 140, S.A. DE C.V.",DSB6558-423,DSB6558-423,factoring,2025-06-05,4360.65,3944.7,118.34,15.38,USD,0.1981,60,days,bullet,0,Complete,3248.97,,,,,,,,,current,0.09464,0.9046128444153968
Abaco Technologies,CLIAB001140,"EMPRESA EJEMPLO 141, S.A. DE C.V.","PAGADOR EJEMPLO 141, S.A. DE C.V.",DSB4218-877,DSB4218-877,factoring,2024-11-05,6433.38,5585.92,167.58,21.79,USD,0.3572,30,days,bullet,0,Current,3607.05,,,,,,,,,current,0.15968000000000002,0.8682714218653336
Abaco Technologies,CLIAB001141,"EMPRESA EJEMPLO 142, S.A. DE C.V.","PAGADOR EJEMPLO 142, S.A. DE C.V.",DSB6939-024,DSB6939-024,factoring,2024-11-17,48625.13,45355.07,1360.65,176.88,USD,0.235,120,days,bullet,0,Complete,26179.84,,,,,,,,,current,0.1572,0.9327495885358045
Abaco Technologies,CLIAB001142,"EMPRESA EJEMPLO 143, S.A. DE C.V.","PAGADOR EJEMPLO 143, S.A. DE C.V.",DSB7881-537,DSB7881-537,factoring,2024-10-28,66503.86,60563.63,1816.91,236.2,USD,0.3715,60,days,bullet,1,Current,30720.98,,,,,,,,,early_delinquent,0.2192222222222222,0.9106784177640215
Abaco Technologies,CLIAB001143,"EMPRESA EJEMPLO 144, S.A. DE C.V.","PAGADOR EJEMPLO 144, S.A. DE C.V.",DSB7851-506,DSB7851-506,factoring,2024-11-19,99043.79,79238.56,2377.16,309.03,USD,0.2822,90,days,bullet,0,Current,5218.01,,,,,,,,,current,0.13568000000000002,0.800035620607814
Abaco Financial,CLIAB001144,"EMPRESA EJEMPLO 145, S.A. DE C.V.","PAGADOR EJEMPLO 145, S.A. DE C.V.",DSB5990-501,DSB5990-501,factoring,2025-06-10,9765.8,7867.71,236.03,30.68,USD,0.3069,120,days,bullet,30,Complete,4079.83,,,,,,,,,early_delinquent,0.2080266666666667,0.8056390669479203
Abaco Financial,CLIAB001145,"EMPRESA EJEMPLO 146, S.A. DE C.V.","PAGADOR EJEMPLO 146, S.A. DE C.V.",DSB6293-726,DSB6293-726,factoring,2025-10-09,42714.34,38897.28,1166.92,151.7,USD,0.1508,180,days,bullet,0,Current,12656.61,,,,,,,,,current,0.10212,0.910637504875412
Abaco Technologies,CLIAB001146,"EMPRESA EJEMPLO 147, S.A. DE C.V.","PAGADOR EJEMPLO 147, S.A. DE C.V.",DSB9526-934,DSB9526-934,factoring,2025-04-02,24127.17,19454.07,583.62,75.87,USD,0.3776,30,days,bullet,0,Current,3002.33,,,,,,,,,current,0.16504000000000002,0.80631379477991
Abaco Technologies,CLIAB001147,"EMPRESA EJEMPLO 148, S.A. DE C.V.","PAGADOR EJEMPLO 148, S.A. DE C.V.",DSB6335-635,DSB6335-635,factoring,2025-07-17,95685.15,88001.48,2640.04,343.21,USD,0.1724,90,days,bullet,3,Default,71127.83,,,,,,,,,early_delinquent,0.47202666666666665,0.9196984067015623
Abaco Technologies,CLIAB001148,"EMPRESA EJEMPLO 149, S.A. DE C.V.","PAGADOR EJEMPLO 149, S.A. DE C.V.",DSB3396-646,DSB3396-646,factoring,2025-01-16,7433.65,6394.7,191.84,24.94,USD,0.3124,180,days,bullet,0,Current,348.98,,,,,,,,,current,0.12696000000000002,0.8602368957376255
Abaco Financial,CLIAB001149,"EMPRESA EJEMPLO 150, S.A. DE C.V.","PAGADOR EJEMPLO 150, S.A. DE C.V.",DSB9326-146,DSB9326-146,factoring,2024-12-25,39024.97,31435.0,943.05,122.6,USD,0.3449,180,days,bullet,0,Default,34489.72,,,,,,,,,current,0.51156,0.8055099081434272
Abaco Technologies,CLIAB001150,"EMPRESA EJEMPLO 151, S.A. DE C.V.","PAGADOR EJEMPLO 151, S.A. DE C.V.",DSB4763-118,DSB4763-118,factoring,2025-04-05,92847.48,88134.18,2644.03,343.72,USD,0.2151,90,days,bullet,0,Current,14288.85,,,,,,,,,current,0.12964,0.9492361020460652
Abaco Financial,CLIAB001151,"EMPRESA EJEMPLO 152, S.A. DE C.V.","PAGADOR EJEMPLO 152, S.A. DE C.V.",DSB3166-553,DSB3166-553,factoring,2025-09-18,81767.48,68166.77,2045.0,265.85,USD,0.337,30,days,bullet,0,Current,7480.65,,,,,,,,,current,0.1644,0.8336660246836518
Abaco Financial,CLIAB001152,"EMPRESA EJEMPLO 153, S.A. DE C.V.","PAGADOR EJEMPLO 153, S.A. DE C.V.",DSB6051-354,DSB6051-354,factoring,2025-05-05,87868.63,73795.59,2213.87,287.8,USD,0.2692,90,days,bullet,10,Complete,71131.06,,,,,,,,,early_delinquent,0.22650222222222222,0.8398399975053668
Abaco Technologies,CLIAB001153,"EMPRESA EJEMPLO 154, S.A. DE C.V.","PAGADOR EJEMPLO 154, S.A. DE C.V.",DSB2661-062,DSB2661-062,factoring,2025-08-19,65868.96,58137.82,1744.13,226.74,USD,0.2203,120,days,bullet,0,Current,47650.93,,,,,,,,,current,0.17392000000000002,0.8826284793322985
Abaco Financial,CLIAB001154,"EMPRESA EJEMPLO 155, S.A. DE C.V.","PAGADOR EJEMPLO 155, S.A. DE C.V.",DSB3926-680,DSB3926-680,factoring,2025-10-04,50091.7,40682.32,1220.47,158.66,USD,0.1774,120,days,bullet,0,Complete,24802.73,,,,,,,,,current,0.13176000000000002,0.8121569042376282
Abaco Financial,CLIAB001155,"EMPRESA EJEMPLO 156, S.A. DE C.V.","PAGADOR EJEMPLO 156, S.A. DE C.V.",DSB1559-120,DSB1559-120,factoring,2025-10-08,48578.07,43179.16,1295.37,168.4,USD,0.2928,60,days,bullet,0,Complete,35651.93,,,,,,,,,current,0.19292,0.8888611671892277
Abaco Financial,CLIAB001156,"EMPRESA EJEMPLO 157, S.A. DE C.V.","PAGADOR EJEMPLO 157, S.A. DE C.V.",DSB3691-720,DSB3691-720,factoring,2025-06-05,52604.77,48934.23,1468.03,190.84,USD,0.3626,90,days,bullet,0,Current,12556.23,,,,,,,,,current,0.18604,0.9302241982998881
Abaco Technologies,CLIAB001157,"EMPRESA EJEMPLO 158, S.A. DE C.V.","PAGADOR EJEMPLO 158, S.A. DE C.V.",DSB8052-557,DSB8052-557,factoring,2025-02-07,93078.94,75940.79,2278.22,296.17,USD,0.3382,180,days,bullet,1,Complete,2722.31,,,,,,,,,early_delinquent,0.15010222222222222,0.8158751055824227
Abaco Technologies,CLIAB001158,"EMPRESA EJEMPLO 159, S.A. DE C.V.","PAGADOR EJEMPLO 159, S.A. DE C.V.",DSB7108-811,DSB7108-811,factoring,2025-03-09,82755.86,67804.4,2034.13,264.44,USD,0.2072,60,days,bullet,0,Complete,41995.93,,,,,,,,,current,0.16368000000000002,0.8193304981665346
Abaco Financial,CLIAB001159,"EMPRESA EJEMPLO 160, S.A. DE C.V.","PAGADOR EJEMPLO 160, S.A. DE C.V.",DSB3179-243,DSB3179-243,factoring,2025-06-06,1632.2,1376.04,41.28,5.37,USD,0.2316,30,days,bullet,0,Current,1034.82,,,,,,,,,current,0.09744,0.8430584487195196
Abaco Financial,CLIAB001160,"EMPRESA EJEMPLO 161, S.A. DE C.V.","PAGADOR EJEMPLO 161, S.A. DE C.V.",DSB8151-056,DSB8151-056,factoring,2025-05-05,54458.55,49937.23,1498.12,194.76,USD,0.2208,60,days,bullet,0,Complete,21355.99,,,,,,,,,current,0.14452,0.9169768567102871
